Threshold,False Positive Rate (x),True Positive Rate (y)
0.713000,0.060166,0.751037
0.714000,0.060166,0.751037
0.715000,0.060166,0.751037
0.716000,0.060166,0.751037
0.717000,0.060166,0.751037
0.718000,0.058091,0.751037
0.719000,0.058091,0.748963
0.720000,0.058091,0.746888
0.721000,0.056017,0.744813
0.722000,0.056017,0.742739
0.723000,0.056017,0.738589
0.724000,0.056017,0.738589
0.725000,0.056017,0.736515
0.726000,0.056017,0.734440
0.727000,0.056017,0.734440
0.728000,0.056017,0.734440
0.729000,0.056017,0.730290
0.730000,0.056017,0.730290
0.731000,0.053942,0.730290
0.732000,0.053942,0.728216
0.733000,0.053942,0.728216
0.734000,0.053942,0.728216
0.735000,0.053942,0.728216
0.736000,0.053942,0.726141
0.737000,0.053942,0.726141
0.738000,0.053942,0.726141
0.739000,0.053942,0.726141
0.740000,0.053942,0.726141
0.741000,0.053942,0.726141
0.742000,0.053942,0.726141
0.743000,0.053942,0.724066
0.744000,0.053942,0.721992
0.745000,0.053942,0.719917
0.746000,0.053942,0.717842
0.747000,0.053942,0.717842
0.748000,0.053942,0.717842
0.749000,0.053942,0.717842
0.750000,0.053942,0.717842
0.751000,0.053942,0.713693
0.752000,0.053942,0.713693
0.753000,0.053942,0.713693
0.754000,0.053942,0.713693
0.755000,0.053942,0.713693
0.756000,0.053942,0.711618
0.757000,0.053942,0.711618
0.758000,0.051867,0.709544
0.759000,0.051867,0.709544
0.760000,0.051867,0.707469
0.761000,0.051867,0.705394
0.762000,0.051867,0.705394
0.763000,0.051867,0.701245
0.764000,0.049793,0.701245
0.765000,0.049793,0.699170
0.766000,0.049793,0.699170
0.767000,0.049793,0.699170
0.768000,0.049793,0.697095
0.769000,0.049793,0.697095
0.770000,0.049793,0.692946
0.771000,0.049793,0.690871
0.772000,0.049793,0.688797
0.773000,0.047718,0.688797
0.774000,0.047718,0.686722
0.775000,0.047718,0.684647
0.776000,0.047718,0.682573
0.777000,0.047718,0.680498
0.778000,0.047718,0.678423
0.779000,0.047718,0.676349
0.780000,0.047718,0.674274
0.781000,0.047718,0.674274
0.782000,0.047718,0.674274
0.783000,0.047718,0.674274
0.784000,0.047718,0.672199
0.785000,0.047718,0.672199
0.786000,0.047718,0.670124
0.787000,0.047718,0.670124
0.788000,0.047718,0.668050
0.789000,0.047718,0.668050
0.790000,0.047718,0.665975
0.791000,0.047718,0.663900
0.792000,0.047718,0.663900
0.793000,0.047718,0.663900
0.794000,0.047718,0.661826
0.795000,0.047718,0.661826
0.796000,0.047718,0.659751
0.797000,0.047718,0.659751
0.798000,0.047718,0.659751
0.799000,0.047718,0.659751
0.800000,0.047718,0.659751
0.801000,0.047718,0.657676
0.802000,0.045643,0.657676
0.803000,0.045643,0.657676
0.804000,0.045643,0.655602
0.805000,0.045643,0.653527
0.806000,0.045643,0.653527
0.807000,0.043568,0.653527
0.808000,0.043568,0.653527
0.809000,0.043568,0.651452
0.810000,0.041494,0.651452
0.811000,0.041494,0.649378
0.812000,0.041494,0.647303
0.813000,0.041494,0.647303
0.814000,0.041494,0.645228
0.815000,0.041494,0.645228
0.816000,0.039419,0.643154
0.817000,0.039419,0.643154
0.818000,0.037344,0.639004
0.819000,0.037344,0.634855
0.820000,0.037344,0.632780
0.821000,0.037344,0.630705
0.822000,0.037344,0.628631
0.823000,0.037344,0.626556
0.824000,0.037344,0.622407
0.825000,0.037344,0.622407
0.826000,0.037344,0.620332
0.827000,0.037344,0.616183
0.828000,0.037344,0.616183
0.829000,0.037344,0.616183
0.830000,0.037344,0.614108
0.831000,0.037344,0.612033
0.832000,0.037344,0.607884
0.833000,0.035270,0.605809
0.834000,0.035270,0.603734
0.835000,0.035270,0.603734
0.836000,0.035270,0.599585
0.837000,0.035270,0.595436
0.838000,0.035270,0.593361
0.839000,0.035270,0.593361
0.840000,0.035270,0.591286
0.841000,0.033195,0.591286
0.842000,0.033195,0.589212
0.843000,0.033195,0.587137
0.844000,0.031120,0.582988
0.845000,0.031120,0.580913
0.846000,0.031120,0.580913
0.847000,0.031120,0.578838
0.848000,0.029046,0.574689
0.849000,0.029046,0.570539
0.850000,0.029046,0.570539
0.851000,0.029046,0.568465
0.852000,0.024896,0.568465
0.853000,0.022822,0.566390
0.854000,0.022822,0.564315
0.855000,0.022822,0.564315
0.856000,0.022822,0.564315
0.857000,0.022822,0.562241
0.858000,0.022822,0.562241
0.859000,0.022822,0.558091
0.860000,0.022822,0.556017
0.861000,0.022822,0.551867
0.862000,0.022822,0.543568
0.863000,0.022822,0.535270
0.864000,0.022822,0.535270
0.865000,0.022822,0.531120
0.866000,0.022822,0.529046
0.867000,0.022822,0.522822
0.868000,0.022822,0.520747
0.869000,0.022822,0.520747
0.870000,0.022822,0.516598
0.871000,0.022822,0.510373
